player_name,player_url,position,faab_spend,failed_bids,awardee,awardee_url,award_timestamp,has_failed_bidders,faab_dollars,sort
Chosen Anderson,https://sports.yahoo.com/nfl/players/29785,WR,$0 Winning Offer,"[['MAGA Cracker', 'https://football.fantasysports.yahoo.com/2019/f1/102231/3', '$0 (Lower waiver priority)']]",Rockin a Chubb,https://football.fantasysports.yahoo.com/2019/f1/102231/5,"Dec 21, 4:49 am",1,0,"Chosen AndersonRockin a ChubbDec 21, 4:49 am0"
Mike Boone,https://sports.yahoo.com/nfl/players/31228,RB,$21 Winning Offer,"[['Talented Mr. Ridley', 'https://football.fantasysports.yahoo.com/2019/f1/102231/10', '$6 (Lower Offer)'], ['Marquez Exxon Valdez', 'https://football.fantasysports.yahoo.com/2019/f1/102231/9', '$0 (Lower Offer)']]",Brown Rehab Facility,https://football.fantasysports.yahoo.com/2019/f1/102231/8,"Dec 18, 3:54 am",1,21,"Mike BooneBrown Rehab FacilityDec 18, 3:54 am21"
Breshad Perriman,https://sports.yahoo.com/nfl/players/28414,WR,$23 Winning Offer,"[['MAGA Cracker', 'https://football.fantasysports.yahoo.com/2019/f1/102231/3', '$15 (Lower Offer)'], ['Marquez Exxon Valdez', 'https://football.fantasysports.yahoo.com/2019/f1/102231/9', '$0 (Lower Offer)']]",Brown Rehab Facility,https://football.fantasysports.yahoo.com/2019/f1/102231/8,"Dec 18, 3:54 am",1,23,"Breshad PerrimanBrown Rehab FacilityDec 18, 3:54 am23"
Denver,https://sports.yahoo.com/nfl/teams/denver/,DEF,$15 Winning Offer,"[['Marquez Exxon Valdez', 'https://football.fantasysports.yahoo.com/2019/f1/102231/9', '$0 (Lower Offer)']]",MAGA Cracker,https://football.fantasysports.yahoo.com/2019/f1/102231/3,"Dec 18, 3:54 am",1,15,"DenverMAGA CrackerDec 18, 3:54 am15"
Rashaad Penny,https://sports.yahoo.com/nfl/players/30997,RB,$11 Winning Offer,"[['Marquez Exxon Valdez', 'https://football.fantasysports.yahoo.com/2019/f1/102231/9', '$0 (Lower Offer)']]",Deez Nutz,https://football.fantasysports.yahoo.com/2019/f1/102231/4,"Nov 27, 5:02 am",1,11,"Rashaad PennyDeez NutzNov 27, 5:02 am11"
Jacob Hollister,https://sports.yahoo.com/nfl/players/30661,TE,$22 Winning Offer,"[['Deez Nutz', 'https://football.fantasysports.yahoo.com/2019/f1/102231/4', '$8 (Lower Offer)'], ['Marquez Exxon Valdez', 'https://football.fantasysports.yahoo.com/2019/f1/102231/9', '$1 (Lower Offer)']]",Rockin a Chubb,https://football.fantasysports.yahoo.com/2019/f1/102231/5,"Nov 20, 6:30 am",1,22,"Jacob HollisterRockin a ChubbNov 20, 6:30 am22"
Jaylen Samuels,https://sports.yahoo.com/nfl/players/31135,RB,$17 Winning Offer,"[['WeEatinGOOD', 'https://football.fantasysports.yahoo.com/2019/f1/102231/7', '$14 (Lower Offer)'], ['Deez Nutz', 'https://football.fantasysports.yahoo.com/2019/f1/102231/4', '$8 (Lower Offer)']]",Marquez Exxon Valdez,https://football.fantasysports.yahoo.com/2019/f1/102231/9,"Nov 20, 6:30 am",1,17,"Jaylen SamuelsMarquez Exxon ValdezNov 20, 6:30 am17"
Las Vegas,https://sports.yahoo.com/nfl/teams/las-vegas/,DEF,$5 Winning Offer,"[['WeEatinGOOD', 'https://football.fantasysports.yahoo.com/2019/f1/102231/7', '$5 (Lower waiver priority)'], ['Marquez Exxon Valdez', 'https://football.fantasysports.yahoo.com/2019/f1/102231/9', '$3 (Lower Offer)'], ['MAGA Cracker', 'https://football.fantasysports.yahoo.com/2019/f1/102231/3', '$0 (Lower Offer)']]",TurnUrHead&Goff,https://football.fantasysports.yahoo.com/2019/f1/102231/1,"Nov 13, 4:24 am",1,5,"Las VegasTurnUrHead&GoffNov 13, 4:24 am5"
Washington,https://sports.yahoo.com/nfl/teams/washington/,DEF,$2 Winning Offer,"[['Marquez Exxon Valdez', 'https://football.fantasysports.yahoo.com/2019/f1/102231/9', '$1 (Lower Offer)']]",WeEatinGOOD,https://football.fantasysports.yahoo.com/2019/f1/102231/7,"Nov 13, 4:24 am",1,2,"WashingtonWeEatinGOODNov 13, 4:24 am2"
Brian Hill,https://sports.yahoo.com/nfl/players/30269,RB,$19 Winning Offer,"[['Deez Nutz', 'https://football.fantasysports.yahoo.com/2019/f1/102231/4', '$17 (Lower Offer)'], ['MAGA Cracker', 'https://football.fantasysports.yahoo.com/2019/f1/102231/3', '$14 (Lower Offer)']]",Talented Mr. Ridley,https://football.fantasysports.yahoo.com/2019/f1/102231/10,"Nov 13, 4:24 am",1,19,"Brian HillTalented Mr. RidleyNov 13, 4:24 am19"
Zach Pascal,https://sports.yahoo.com/nfl/players/30502,WR,$7 Winning Offer,"[['fuMinshew', 'https://football.fantasysports.yahoo.com/2019/f1/102231/6', '$0 (Lower Offer)']]",Rockin a Chubb,https://football.fantasysports.yahoo.com/2019/f1/102231/5,"Nov 8, 3:33 am",1,7,"Zach PascalRockin a ChubbNov 8, 3:33 am7"
Tampa Bay,https://sports.yahoo.com/nfl/teams/tampa-bay/,DEF,$1 Winning Offer,"[['MAGA Cracker', 'https://football.fantasysports.yahoo.com/2019/f1/102231/3', '$0 (Lower Offer)']]",Rockin a Chubb,https://football.fantasysports.yahoo.com/2019/f1/102231/5,"Nov 6, 4:39 am",1,1,"Tampa BayRockin a ChubbNov 6, 4:39 am1"
Ronald Jones,https://sports.yahoo.com/nfl/players/31008,RB,$15 Winning Offer,"[['WeEatinGOOD', 'https://football.fantasysports.yahoo.com/2019/f1/102231/7', '$12 (Lower Offer)'], ['Marquez Exxon Valdez', 'https://football.fantasysports.yahoo.com/2019/f1/102231/9', '$10 (Lower Offer)'], ['Brown Rehab Facility', 'https://football.fantasysports.yahoo.com/2019/f1/102231/8', '$2 (Lower Offer)']]",Rockin a Chubb,https://football.fantasysports.yahoo.com/2019/f1/102231/5,"Nov 6, 4:39 am",1,15,"Ronald JonesRockin a ChubbNov 6, 4:39 am15"
DeVante Parker,https://sports.yahoo.com/nfl/players/28402,WR,$9 Winning Offer,"[['Brown Rehab Facility', 'https://football.fantasysports.yahoo.com/2019/f1/102231/8', '$6 (Lower Offer)']]",WeEatinGOOD,https://football.fantasysports.yahoo.com/2019/f1/102231/7,"Nov 6, 4:39 am",1,9,"DeVante ParkerWeEatinGOODNov 6, 4:39 am9"
Cleveland,https://sports.yahoo.com/nfl/teams/cleveland/,DEF,$11 Winning Offer,"[['Rockin a Chubb', 'https://football.fantasysports.yahoo.com/2019/f1/102231/5', '$10 (Lower Offer)'], ['WeEatinGOOD', 'https://football.fantasysports.yahoo.com/2019/f1/102231/7', '$4 (Lower Offer)'], ['MAGA Cracker', 'https://football.fantasysports.yahoo.com/2019/f1/102231/3', '$1 (Lower Offer)']]",Marquez Exxon Valdez,https://football.fantasysports.yahoo.com/2019/f1/102231/9,"Oct 30, 4:33 am",1,11,"ClevelandMarquez Exxon ValdezOct 30, 4:33 am11"
Jaylen Samuels,https://sports.yahoo.com/nfl/players/31135,RB,$20 Winning Offer,"[['WeEatinGOOD', 'https://football.fantasysports.yahoo.com/2019/f1/102231/7', '$12 (Lower Offer)']]",Deez Nutz,https://football.fantasysports.yahoo.com/2019/f1/102231/4,"Oct 30, 4:33 am",1,20,"Jaylen SamuelsDeez NutzOct 30, 4:33 am20"
Las Vegas,https://sports.yahoo.com/nfl/teams/las-vegas/,DEF,$11 Winning Offer,"[['TurnUrHead&Goff', 'https://football.fantasysports.yahoo.com/2019/f1/102231/1', '$2 (Lower Offer)']]",Talented Mr. Ridley,https://football.fantasysports.yahoo.com/2019/f1/102231/10,"Oct 23, 4:38 am",1,11,"Las VegasTalented Mr. RidleyOct 23, 4:38 am11"
Ryan Tannehill,https://sports.yahoo.com/nfl/players/25718,QB,$6 Winning Offer,"[['WeEatinGOOD', 'https://football.fantasysports.yahoo.com/2019/f1/102231/7', '$3 (Lower Offer)']]",MAGA Cracker,https://football.fantasysports.yahoo.com/2019/f1/102231/3,"Oct 23, 4:38 am",1,6,"Ryan TannehillMAGA CrackerOct 23, 4:38 am6"
Ty Johnson,https://sports.yahoo.com/nfl/players/32018,RB,$29 Winning Offer,"[['Marquez Exxon Valdez', 'https://football.fantasysports.yahoo.com/2019/f1/102231/9', '$20 (Lower Offer)']]",FonziFonarelli,https://football.fantasysports.yahoo.com/2019/f1/102231/2,"Oct 23, 4:38 am",1,29,"Ty JohnsonFonziFonarelliOct 23, 4:38 am29"
Mohamed Sanu,https://sports.yahoo.com/nfl/players/25793,WR,$18 Winning Offer,"[['Deez Nutz', 'https://football.fantasysports.yahoo.com/2019/f1/102231/4', '$11 (Lower Offer)'], ['fuMinshew', 'https://football.fantasysports.yahoo.com/2019/f1/102231/6', '$7 (Lower Offer)'], ['WeEatinGOOD', 'https://football.fantasysports.yahoo.com/2019/f1/102231/7', '$2 (Lower Offer)'], ['Marquez Exxon Valdez', 'https://football.fantasysports.yahoo.com/2019/f1/102231/9', '$1 (Lower Offer)']]",Talented Mr. Ridley,https://football.fantasysports.yahoo.com/2019/f1/102231/10,"Oct 23, 4:38 am",1,18,"Mohamed SanuTalented Mr. RidleyOct 23, 4:38 am18"
Kenny Stills,https://sports.yahoo.com/nfl/players/26767,WR,$6 Winning Offer,"[['MAGA Cracker', 'https://football.fantasysports.yahoo.com/2019/f1/102231/3', '$4 (Lower Offer)']]",WeEatinGOOD,https://football.fantasysports.yahoo.com/2019/f1/102231/7,"Oct 23, 4:38 am",1,6,"Kenny StillsWeEatinGOODOct 23, 4:38 am6"
Jamison Crowder,https://sports.yahoo.com/nfl/players/28493,WR,$5 Winning Offer,"[['Marquez Exxon Valdez', 'https://football.fantasysports.yahoo.com/2019/f1/102231/9', '$0 (Lower Offer)']]",WeEatinGOOD,https://football.fantasysports.yahoo.com/2019/f1/102231/7,"Oct 16, 4:33 am",1,5,"Jamison CrowderWeEatinGOODOct 16, 4:33 am5"
Detroit,https://sports.yahoo.com/nfl/teams/detroit/,DEF,$1 Winning Offer,"[['MAGA Cracker', 'https://football.fantasysports.yahoo.com/2019/f1/102231/3', '$0 (Lower Offer)'], ['Marquez Exxon Valdez', 'https://football.fantasysports.yahoo.com/2019/f1/102231/9', '$0 (Lower Offer)']]",Rockin a Chubb,https://football.fantasysports.yahoo.com/2019/f1/102231/5,"Oct 16, 4:33 am",1,1,"DetroitRockin a ChubbOct 16, 4:33 am1"
T.J. Hockenson,https://sports.yahoo.com/nfl/players/31840,TE,$11 Winning Offer,"[['Rockin a Chubb', 'https://football.fantasysports.yahoo.com/2019/f1/102231/5', '$10 (Lower Offer)'], ['WeEatinGOOD', 'https://football.fantasysports.yahoo.com/2019/f1/102231/7', '$1 (Lower Offer)']]",fuMinshew,https://football.fantasysports.yahoo.com/2019/f1/102231/6,"Oct 16, 4:33 am",1,11,"T.J. HockensonfuMinshewOct 16, 4:33 am11"
Jimmy Graham,https://sports.yahoo.com/nfl/players/24070,TE,$2 Winning Offer,"[['MAGA Cracker', 'https://football.fantasysports.yahoo.com/2019/f1/102231/3', '$0 (Lower Offer)'], ['WeEatinGOOD', 'https://football.fantasysports.yahoo.com/2019/f1/102231/7', '$0 (Lower Offer)']]",Rockin a Chubb,https://football.fantasysports.yahoo.com/2019/f1/102231/5,"Oct 11, 3:25 am",1,2,"Jimmy GrahamRockin a ChubbOct 11, 3:25 am2"
Washington,https://sports.yahoo.com/nfl/teams/washington/,DEF,$8 Winning Offer,"[['FonziFonarelli', 'https://football.fantasysports.yahoo.com/2019/f1/102231/2', '$7 (Lower Offer)'], ['WeEatinGOOD', 'https://football.fantasysports.yahoo.com/2019/f1/102231/7', '$5 (Lower Offer)'], ['MAGA Cracker', 'https://football.fantasysports.yahoo.com/2019/f1/102231/3', '$0 (Lower Offer)']]",TurnUrHead&Goff,https://football.fantasysports.yahoo.com/2019/f1/102231/1,"Oct 9, 4:23 am",1,8,"WashingtonTurnUrHead&GoffOct 9, 4:23 am8"
Duke Johnson,https://sports.yahoo.com/nfl/players/28465,RB,$3 Winning Offer,"[['Marquez Exxon Valdez', 'https://football.fantasysports.yahoo.com/2019/f1/102231/9', '$1 (Lower Offer)']]",Rockin a Chubb,https://football.fantasysports.yahoo.com/2019/f1/102231/5,"Oct 9, 4:23 am",1,3,"Duke JohnsonRockin a ChubbOct 9, 4:23 am3"
Philadelphia,https://sports.yahoo.com/nfl/teams/philadelphia/,DEF,$2 Winning Offer,"[['Marquez Exxon Valdez', 'https://football.fantasysports.yahoo.com/2019/f1/102231/9', '$2 (Invalid claim due to previous transaction)'], ['TurnUrHead&Goff', 'https://football.fantasysports.yahoo.com/2019/f1/102231/1', '$0 (Lower Offer)']]",MAGA Cracker,https://football.fantasysports.yahoo.com/2019/f1/102231/3,"Oct 2, 4:23 am",1,2,"PhiladelphiaMAGA CrackerOct 2, 4:23 am2"
Courtland Sutton,https://sports.yahoo.com/nfl/players/31010,WR,$5 Winning Offer,"[['WeEatinGOOD', 'https://football.fantasysports.yahoo.com/2019/f1/102231/7', '$5 (Lower waiver priority)']]",Marquez Exxon Valdez,https://football.fantasysports.yahoo.com/2019/f1/102231/9,"Oct 2, 4:23 am",1,5,"Courtland SuttonMarquez Exxon ValdezOct 2, 4:23 am5"
Ronald Jones,https://sports.yahoo.com/nfl/players/31008,RB,$4 Winning Offer,"[['Marquez Exxon Valdez', 'https://football.fantasysports.yahoo.com/2019/f1/102231/9', '$4 (Invalid claim due to previous transaction)']]",MAGA Cracker,https://football.fantasysports.yahoo.com/2019/f1/102231/3,"Oct 2, 4:23 am",1,4,"Ronald JonesMAGA CrackerOct 2, 4:23 am4"
Jordan Howard,https://sports.yahoo.com/nfl/players/29384,RB,$10 Winning Offer,"[['Marquez Exxon Valdez', 'https://football.fantasysports.yahoo.com/2019/f1/102231/9', '$5 (Lower Offer)'], ['MAGA Cracker', 'https://football.fantasysports.yahoo.com/2019/f1/102231/3', '$1 (Lower Offer)']]",Deez Nutz,https://football.fantasysports.yahoo.com/2019/f1/102231/4,"Oct 2, 4:23 am",1,10,"Jordan HowardDeez NutzOct 2, 4:23 am10"
Will Dissly,https://sports.yahoo.com/nfl/players/31090,TE,$11 Winning Offer,"[['Deez Nutz', 'https://football.fantasysports.yahoo.com/2019/f1/102231/4', '$7 (Lower Offer)'], ['Rockin a Chubb', 'https://football.fantasysports.yahoo.com/2019/f1/102231/5', '$6 (Lower Offer)'], ['FonziFonarelli', 'https://football.fantasysports.yahoo.com/2019/f1/102231/2', '$5 (Lower Offer)'], ['WeEatinGOOD', 'https://football.fantasysports.yahoo.com/2019/f1/102231/7', '$2 (Lower Offer)']]",fuMinshew,https://football.fantasysports.yahoo.com/2019/f1/102231/6,"Sep 25, 4:48 am",1,11,"Will DisslyfuMinshewSep 25, 4:48 am11"
Denver,https://sports.yahoo.com/nfl/teams/denver/,DEF,$4 Winning Offer,"[['WeEatinGOOD', 'https://football.fantasysports.yahoo.com/2019/f1/102231/7', '$1 (Lower Offer)']]",Marquez Exxon Valdez,https://football.fantasysports.yahoo.com/2019/f1/102231/9,"Sep 25, 4:48 am",1,4,"DenverMarquez Exxon ValdezSep 25, 4:48 am4"
DJ Chark,https://sports.yahoo.com/nfl/players/31031,WR,$12 Winning Offer,"[['Deez Nutz', 'https://football.fantasysports.yahoo.com/2019/f1/102231/4', '$6 (Lower Offer)'], ['MAGA Cracker', 'https://football.fantasysports.yahoo.com/2019/f1/102231/3', '$2 (Lower Offer)'], ['Marquez Exxon Valdez', 'https://football.fantasysports.yahoo.com/2019/f1/102231/9', '$0 (Lower Offer)']]",Brown Rehab Facility,https://football.fantasysports.yahoo.com/2019/f1/102231/8,"Sep 25, 4:48 am",1,12,"DJ CharkBrown Rehab FacilitySep 25, 4:48 am12"
Jacoby Brissett,https://sports.yahoo.com/nfl/players/29325,QB,$10 Winning Offer,"[['fuMinshew', 'https://football.fantasysports.yahoo.com/2019/f1/102231/6', '$5 (Lower Offer)'], ['WeEatinGOOD', 'https://football.fantasysports.yahoo.com/2019/f1/102231/7', '$2 (Lower Offer)'], ['Rockin a Chubb', 'https://football.fantasysports.yahoo.com/2019/f1/102231/5', '$1 (Lower Offer)']]",Marquez Exxon Valdez,https://football.fantasysports.yahoo.com/2019/f1/102231/9,"Sep 18, 4:52 am",1,10,"Jacoby BrissettMarquez Exxon ValdezSep 18, 4:52 am10"
Greg Olsen,https://sports.yahoo.com/nfl/players/8285,TE,$7 Winning Offer,"[['Deez Nutz', 'https://football.fantasysports.yahoo.com/2019/f1/102231/4', '$7 (Lower waiver priority)'], ['FonziFonarelli', 'https://football.fantasysports.yahoo.com/2019/f1/102231/2', '$4 (Lower Offer)'], ['Rockin a Chubb', 'https://football.fantasysports.yahoo.com/2019/f1/102231/5', '$0 (Lower Offer)']]",fuMinshew,https://football.fantasysports.yahoo.com/2019/f1/102231/6,"Sep 18, 4:52 am",1,7,"Greg OlsenfuMinshewSep 18, 4:52 am7"
Demarcus Robinson,https://sports.yahoo.com/nfl/players/29360,WR,$31 Winning Offer,"[['TurnUrHead&Goff', 'https://football.fantasysports.yahoo.com/2019/f1/102231/1', '$23 (Lower Offer)']]",fuMinshew,https://football.fantasysports.yahoo.com/2019/f1/102231/6,"Sep 18, 4:52 am",1,31,"Demarcus RobinsonfuMinshewSep 18, 4:52 am31"
